state,district,vote,name,party,bill,bill_text
CA,2,Yes,Jared Huffman,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,7,Yes,Ami Bera,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,8,No,Paul Cook,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,15,Yes,Eric Swalwell,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,26,Yes,Julia Brownley,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,29,Yes,Tony Cárdenas,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,36,Yes,Raul Ruiz,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,41,Yes,Mark Takano,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,47,Yes,Alan Lowenthal,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,51,Yes,Juan Vargas,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,52,Yes,Scott Peters,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
FL,3,No,Ted Yoho,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
FL,21,Yes,Lois Frankel,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
GA,9,No,Doug Collins,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
HI,2,Not Voting,Tulsi Gabbard,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IL,10,Yes,Brad Schneider,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IL,13,No,Rodney Davis,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IL,17,Yes,Cheri Bustos,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IN,2,No,Jackie Walorski,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IN,5,No,Susan Brooks,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
KY,6,No,Andy Barr,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MA,4,Yes,Joseph Kennedy III,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MI,5,Yes,Daniel Kildee,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MO,2,No,Ann Wagner,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NC,8,No,Richard Hudson,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NC,11,No,Mark Meadows,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NC,2,No,George Holding,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NH,2,Yes,Ann Kuster,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NV,4,Yes,Steven Horsford,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NY,6,Yes,Grace Meng,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NY,8,Yes,Hakeem Jeffries,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NY,18,Yes,Sean Maloney,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NY,27,No,Chris Collins,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OH,2,No,Brad Wenstrup,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OH,3,Yes,Joyce Beatty,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OH,14,No,David Joyce,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OK,2,No,Markwayne Mullin,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
PA,10,No,Scott Perry,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
PA,8,Yes,Matthew Cartwright,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
SC,7,No,Tom Rice,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TX,14,No,Randy Weber,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TX,20,Yes,Joaquin Castro,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TX,25,No,Roger Williams,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TX,33,Yes,Marc Veasey,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TX,34,Yes,Filemon Vela,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
UT,2,No,Chris Stewart,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
